Umsatzanzeige;Datei erstellt am: 27.09.2023 17:50

IBAN;DE77 7777 7777 77777 77777 77
Kontoname;Girokonto
Bank;ING
Kunde; XXX
Zeitraum;27.08.2023 - 27.09.2023

Sortierung;Datum absteigend

In der CSV-Datei finden Sie alle bereits gebuchten Ums�tze. Die vorgemerkten Ums�tze werden nicht aufgenommen, auch wenn sie in Ihrem Internetbanking angezeigt werden.

Buchung;Valuta;Auftraggeber/Empf�nger;Buchungstext;Verwendungszweck;Betrag;W�hrung
27.09.2023;27.09.2023;Bank Norwegian;�berweisung;unknown;-112,00;EUR
26.09.2023;26.09.2023;VISA BAECKEREI MENSING;Lastschrift;NR XXXX 1014 VREDEN KAUFUMSATZ 22.09 084114 ARN732423423423423 Apple Pay;-9,90;EUR
26.09.2023;26.09.2023;K u K Tankstelle;Lastschrift;K+K KLAAS + KOCK//GRONAU/DE 2023-09 -24T10:34:41 Folgenr.000 Verfalld.2 026-12;-40,87;EUR
26.09.2023;26.09.2023;Bank Norwegian;�berweisung;unknown;-300,00;EUR
26.09.2023;26.09.2023;JOB GMBH;Gehalt/Rente;LOHN / GEHALT 09/23;3.3333,33;EUR
26.09.2023;26.09.2023;AMAZON EU S.A R.L., NIEDERLASSUNG DEUTSCHLAND;Lastschrift;028-0141309-43242343 Amazon.de 6LPTM A377232WC71YB1;-27,85;EUR
26.09.2023;26.09.2023;AMAZON EU S.A R.L., NIEDERLASSUNG DEUTSCHLAND;Lastschrift;028-9707490-43242343 Amazon.de 146GC XPHQ83346J5SJP;-5,96;EUR
26.09.2023;26.09.2023;AMAZON EU S.A R.L., NIEDERLASSUNG DEUTSCHLAND;Lastschrift;028-0141309-43242343 Amazon.de 4YW2E Q6K23321X1L4KK;-34,78;EUR
26.09.2023;26.09.2023;PayPal (Europe) S.a r.l. et Cie, S.C.A.;Lastschrift;23423423443 PP.3212.PP . PayPal ( Europe) S.a r.l. et Cie, SCA, Ihr E inkauf bei PayPal (Europe) S.a r.l. et Cie, SCA;-48,80;EUR
21.09.2023;21.09.2023;First Data GmbH;Abbuchung;HesselinkKoffie+Thee//WINTERSWIJK/N L/1 2023-09-19T17:36:12 Folgenr.000 Verfalld.2026-12;-12,45;EUR
21.09.2023;21.09.2023;VISA DM-DROGERIE MARKT;Lastschrift;NR XXXX 1014 VREDEN KAUFUMSATZ 19.09 123437 ARN7483072326223223234 Apple Pay;-49,60;EUR
21.09.2023;21.09.2023;Telefonica Germany GmbH + Co. OHG;Lastschrift;Kd-Nr.: 32232323, Rg-Nr.: 2323212 231/7, Ihr Ratenplan;-34,50;EUR
20.09.2023;20.09.2023;PayPal Europe S.a.r.l. et Cie S.C.A;Lastschrift;23123232123 PP.9515.PP . , Ihr Ei nkauf bei;-20,00;EUR
19.09.2023;19.09.2023;AMAZON EU S.A R.L., NIEDERLASSUNG DEUTSCHLAND;Lastschrift;303-32132321-9596318 Amazon.de 3213 213123123;-50,60;EUR
15.09.2023;15.09.2023;SVS-Versorgungsbetriebe GmbH;Gutschrift;VAT-5435353443 3213123213 KD.-NR. 123123 12,41 - 3213213 32133 ADDRESS // 7;12,41;EUR
15.09.2023;15.09.2023;VATTENFALL EUROPE SALES;Gutschrift;S/3223223/23423423 Address Strom Gutschrift Sofortbonus;10,00;EUR
15.09.2023;15.09.2023;AMAZON EU S.A R.L., NIEDERLASSUNG DEUTSCHLAND;Lastschrift;232-343432-432234 Amazon.de 23423234 4232434;-72,17;EUR
13.09.2023;13.09.2023;Telefonica Germany GmbH + Co. OHG;Lastschrift;Kd-Nr.: 313213213, Rg-Nr.: 322323 232/7, Ihre Tarifrechnung;-68,96;EUR
12.09.2023;12.09.2023;VISA LIDL DIENSTLEISTUNG;Lastschrift;NR XXXX 3212 VREDEN KAUFUMSATZ 09.09 32123 3123213123 Apple Pay;-82,36;EUR
